We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
All Submitters of data may be contacted directly via www.gisaid.org
Authors are sorted alphabetically.
Accession ID,Originating Laboratory,Submitting Laboratory,Authors
EPI_ISL_476318,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476321,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476322,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476323,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476325,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476353,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476354,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476361,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476363,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476364,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476366,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476367,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476369,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476370,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476372,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476373,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476375,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476376,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476379,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476380,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476382,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476384,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476386,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476428,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476430,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476431,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_770555,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770558,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770562,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770569,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770572,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770573,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770576,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770577,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770582,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770585,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770586,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770588,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770590,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770597,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770599,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770600,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770601,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770608,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770609,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770611,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770614,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770615,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
EPI_ISL_770623,Laboratório de Microbiologia Molecular - Universidade FEEVALE,Bioinformatics Laboratory / LNCC,"Felipe Benites, Fernando Rosado Spilki, Alana Witt Hansen, Juliane Deise Fleck, Juliana Schons, Meriane Demoliner, Ana Karolina Eisen Antunes, Fagner Henrique Heldt, Larissa Mallmann, Bruna Hermann, Ana Luiza Ziulkoski, Vyctoria Goes, Karoline Schallenberger, Matheus Nunes Weber, Paula Rodrigues de Almeida, Alessandra Pavan Lamarca da Silva, Ronaldo da Silva F Jr , Luiz G P de Almeida, Alexandra L Gerber , Ana Paula de C Guimarães,Ana Tereza R de Vasconcelos"
